epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.18429,4.65322,4.83551,4.72788,0,0,0,0,4.60644,4.72028,4.15835,0.000317556,0.000317556,0.000317556
2,2.86704,5.05108,4.87508,4.65299,0,0,0,0,4.60643,4.71985,4.15816,0.000784065,0.000784065,0.000784065
3,3.54572,4.83576,4.88143,4.81093,0,0,0,0,4.60699,4.72017,4.15729,0.00123878,0.00123878,0.00123878
4,4.22474,4.89618,4.78751,4.71044,0,0,0,0,4.60703,4.7188,4.15638,0.00137595,0.00137595,0.00137595
5,4.90385,5.03062,4.82139,4.80341,0,0,0,0,4.60716,4.71886,4.15579,0.00135826,0.00135826,0.00135826
6,5.58403,4.89442,5.05013,4.82668,0,0,0,0,4.60716,4.71886,4.15579,0.00134058,0.00134058,0.00134058
7,6.32466,4.34595,4.47275,4.59347,0,0,0,0,4.60748,4.72122,4.15713,0.0013229,0.0013229,0.0013229
8,7.16506,4.00108,4.07675,4.43383,0,0,0,0,4.61442,4.72114,4.16299,0.00130521,0.00130521,0.00130521
9,7.90547,3.67335,3.85681,4.3006,0,0,0,0,4.62938,4.72573,4.1703,0.00128753,0.00128753,0.00128753
10,8.63871,3.41513,3.57925,4.0572,0,0,0,0,4.62938,4.72573,4.1703,0.00126985,0.00126985,0.00126985
11,9.37087,3.08688,3.21201,3.93733,0,0,0,0,4.64546,4.73131,4.1825,0.00125216,0.00125216,0.00125216
12,10.1047,2.83764,3.09299,3.85914,0,0,0,0,4.66668,4.73584,4.19871,0.00123448,0.00123448,0.00123448
13,10.8588,2.99611,3.10166,3.82423,0,0,0,0,4.69042,4.74396,4.21612,0.00121679,0.00121679,0.00121679
14,11.6091,2.7894,2.6409,3.54902,0,0,0,0,4.69042,4.74396,4.21612,0.00119911,0.00119911,0.00119911
15,12.364,2.6335,2.63812,3.56736,0,0,0,0,4.72014,4.75213,4.23729,0.00118143,0.00118143,0.00118143
16,13.1121,2.42604,2.35849,3.49183,0,0,0,0,4.74451,4.75716,4.25625,0.00116374,0.00116374,0.00116374
17,13.8601,2.48418,2.24693,3.41104,0,0,0,0,4.76279,4.76224,4.27109,0.00114606,0.00114606,0.00114606
18,14.6185,2.25006,2.01126,3.19254,0,0,0,0,4.76279,4.76224,4.27109,0.00112837,0.00112837,0.00112837
19,15.3719,2.03181,2.07359,3.12167,0,0,0,0,4.78067,4.76795,4.28256,0.00111069,0.00111069,0.00111069
20,16.1063,2.40424,2.01028,3.18327,0,0,0,0,4.78777,4.76858,4.28771,0.00109301,0.00109301,0.00109301
21,16.911,2.13917,1.87797,3.01545,0,0,0,0,4.78668,4.7651,4.28694,0.00107532,0.00107532,0.00107532
22,17.6344,1.96541,1.70306,2.80576,0,0,0,0,4.78668,4.7651,4.28694,0.00105764,0.00105764,0.00105764
23,18.3613,2.00322,1.81991,2.82034,0,0,0,0,4.77167,4.75781,4.2764,0.00103995,0.00103995,0.00103995
